index,dataset,expID,base_model,meta_model,preproc_model,results_dir_path,model_time,postproc_time,preproc_time
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=706744266_hash=df518791_2023.09.08-04.23,ACSPublicCoverage,"GBM, CR",GBM,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=706744266_hash=df518791_2023.09.08-04.23.37,17.432,1.729,1.505
ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=698858135_hash=7a946c00_2023.09.10-10.01,ACSPublicCoverage,"RF, LFR",RF,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=698858135_hash=7a946c00_2023.09.10-10.01.08,1000.803,3.064,12.43
ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=463708309_hash=7a946c00_2023.09.08-04.38,ACSPublicCoverage,"RF, LFR",RF,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=463708309_hash=7a946c00_2023.09.08-04.38.56,449.037,2.568,10.647
ACSPublicCoverage_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=415470899_hash=473ddcc7_2023.09.10-02.22,ACSPublicCoverage,"NN, EG",NN,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=415470899_hash=473ddcc7_2023.09.10-02.22.55,3282.353,15.431,
ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=994334940_hash=cf861b65_2023.09.10-11.50,ACSPublicCoverage,"LR, LFR",LR,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=994334940_hash=cf861b65_2023.09.10-11.50.46,14.959,0.245,12.082
ACSPublicCoverage_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=423368580_hash=f6f92d2b_2023.09.08-04.16,ACSPublicCoverage,FairGBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=423368580_hash=f6f92d2b_2023.09.08-04.16.51,128.006,19.54,
ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=None_one-hot=True_seed=608646201_hash=885ec520_2023.09.09-08.30,ACSPublicCoverage,LR,LR,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=None_one-hot=True_seed=608646201_hash=885ec520_2023.09.09-08.30.20,13.687,0.396,
ACSPublicCoverage_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=185057646_hash=34fd9659_2023.09.09-16.46,ACSPublicCoverage,"RF, EG",RF,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=185057646_hash=34fd9659_2023.09.09-16.46.39,4968.216,23.86,
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=181346780_hash=0aa26821_2023.09.10-07.37,ACSPublicCoverage,"GBM, LFR",GBM,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=181346780_hash=0aa26821_2023.09.10-07.37.32,30.76,0.939,11.531
ACSPublicCoverage_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=724658425_hash=7984d598_2023.09.09-15.41,ACSPublicCoverage,"GBM, GS",GBM,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=724658425_hash=7984d598_2023.09.09-15.41.57,43086.129,46.656,
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=181346798_hash=0aa26821_2023.09.10-09.03,ACSPublicCoverage,"GBM, LFR",GBM,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=181346798_hash=0aa26821_2023.09.10-09.03.34,41.084,1.967,11.408
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=277254316_hash=df518791_2023.09.10-06.47,ACSPublicCoverage,"GBM, CR",GBM,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=277254316_hash=df518791_2023.09.10-06.47.10,8536.952,76.28,1.616
ACSPublicCoverage_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=584026440_hash=9da8306e_2023.09.09-12.57,ACSPublicCoverage,"RF, CR",RF,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=584026440_hash=9da8306e_2023.09.09-12.57.01,5016.116,118.66,1.813
ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=554358329_hash=cf861b65_2023.09.09-13.54,ACSPublicCoverage,"LR, LFR",LR,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=554358329_hash=cf861b65_2023.09.09-13.54.33,10.921,0.259,11.538
ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=None_one-hot=True_seed=201179589_hash=885ec520_2023.09.10-16.03,ACSPublicCoverage,LR,LR,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=None_one-hot=True_seed=201179589_hash=885ec520_2023.09.10-16.03.53,64.889,0.461,
ACSPublicCoverage_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=375869280_hash=0d2e5add_2023.09.09-09.56,ACSPublicCoverage,"RF, GS",RF,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=375869280_hash=0d2e5add_2023.09.09-09.56.47,26181.578,62.546,
ACSPublicCoverage_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=32019160_hash=f6f92d2b_2023.09.10-04.56,ACSPublicCoverage,FairGBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=32019160_hash=f6f92d2b_2023.09.10-04.56.53,806.945,42.523,
ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=686836579_hash=7a946c00_2023.09.09-13.22,ACSPublicCoverage,"RF, LFR",RF,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=686836579_hash=7a946c00_2023.09.09-13.22.43,59312.475,223.337,12.222
ACSPublicCoverage_base=random-forest_meta=None_preprocessor=None_one-hot=False_seed=262491746_hash=50e53f98_2023.09.09-14.26,ACSPublicCoverage,RF,RF,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=None_preprocessor=None_one-hot=False_seed=262491746_hash=50e53f98_2023.09.09-14.26.50,1248.615,50.805,
ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=994334937_hash=cf861b65_2023.09.10-11.47,ACSPublicCoverage,"LR, LFR",LR,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=994334937_hash=cf861b65_2023.09.10-11.47.38,13.499,0.287,12.644
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=277254310_hash=df518791_2023.09.10-06.40,ACSPublicCoverage,"GBM, CR",GBM,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=277254310_hash=df518791_2023.09.10-06.40.02,41.462,5.063,1.768
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=775584889_hash=df518791_2023.09.09-12.26,ACSPublicCoverage,"GBM, CR",GBM,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=775584889_hash=df518791_2023.09.09-12.26.03,270.088,40.282,1.575
